Klasa,Wavelength_um,A_Mean,A_Sigma,A_Mean_minus_sigma,A_Mean_plus_sigma,B_Mean,B_Sigma,B_Mean_minus_sigma,B_Mean_plus_sigma,C_Mean,C_Sigma,C_Mean_minus_sigma,C_Mean_plus_sigma,D_Mean,D_Sigma,D_Mean_minus_sigma,D_Mean_plus_sigma,K_Mean,K_Sigma,K_Mean_minus_sigma,K_Mean_plus_sigma,L_Mean,L_Sigma,L_Mean_minus_sigma,L_Mean_plus_sigma,O_Mean,O_Sigma,O_Mean_minus_sigma,O_Mean_plus_sigma,S_Mean,S_Sigma,S_Mean_minus_sigma,S_Mean_plus_sigma,V_Mean,V_Sigma,V_Mean_minus_sigma,V_Mean_plus_sigma,X_Mean,X_Sigma,X_Mean_minus_sigma,X_Mean_plus_sigma
O,1.2,,,,,,,,,,,,,,,,,,,,,,,,,0.19937840666666695,0.0,0.19937840666666695,0.19937840666666695,,,,,,,,,,,,
S,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7664298561643836,0.02917954794520548,0.7372503082191781,0.7956094041095891,,,,,,,,
S,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8339356780821918,0.02736927397260274,0.8065664041095891,0.8613049520547945,,,,,,,,
S,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9014415000000001,0.025559,0.8758825000000001,0.9270005000000001,,,,,,,,
S,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9689473219178082,0.02374872602739726,0.9451985958904109,0.9926960479452055,,,,,,,,
S,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0199665,0.027036200000000003,0.9929303,1.0470027,,,,,,,,
S,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0569415,0.034666199999999994,1.0222753,1.0916077,,,,,,,,
S,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0939165,0.04229619999999999,1.0516203,1.1362127,,,,,,,,
S,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0770397266666665,0.046773553333333336,1.0302661733333331,1.1238132799999998,,,,,,,,
S,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04124206,0.050143219999999995,0.99109884,1.0913852800000001,,,,,,,,
S,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0054443933333335,0.05351288666666666,0.9519315066666668,1.0589572800000002,,,,,,,,
S,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9696467266666668,0.05688255333333333,0.9127641733333335,1.02652928,,,,,,,,
S,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9338490600000001,0.060252219999999995,0.8735968400000002,0.9941012800000001,,,,,,,,
S,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8980513933333335,0.06362188666666667,0.8344295066666668,0.9616732800000002,,,,,,,,
S,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8622537266666669,0.06699155333333333,0.7952621733333336,0.9292452800000002,,,,,,,,
